Image,Image Left,Image Right,,Malte,Lukas,Julius,Jan,Martha,Nele,Leo,Nick,Fabi,Paul,,Winner,Absolut,Percantage
1,3,8,,8,3,8,8,8,3,8,8,8,8,,8,8,80
2,7,0,,0,0,0,0,0,0,0,0,0,0,,0,10,100
3,0,8,,0,0,0,0,0,0,0,0,0,0,,0,10,100
4,0,5,,0,0,0,0,0,0,0,0,0,0,,0,10,100
5,10,0,,0,0,0,0,0,0,0,0,0,0,,0,10,100
6,0,1,,0,0,0,0,0,0,0,0,0,0,,0,10,100
7,3,0,,0,0,0,0,0,0,0,0,0,0,,0,10,100
8,9,4,,9,4,9,9,9,4,9,9,9,4,,9,7,70
