Image,Image Left,Image Right,,Malte,Lukas,Julius,Jan,Martha,Nele,Leo,Nick,Fabi,Paul,,Winner,Absolut,Percantage
1,2,4,,4,4,4,4,4,4,4,4,4,4,,4,10,100
2,0,9,,0,0,0,0,0,0,0,0,0,0,,0,10,100
3,0,6,,0,6,0,0,0,0,0,0,0,0,,0,9,90
4,8,0,,0,0,0,0,0,0,0,0,0,0,,0,10,100
5,0,3,,0,0,0,0,0,0,0,0,0,0,,0,10,100
6,10,8,,8,8,8,8,8,8,8,8,8,8,,8,10,100
7,5,0,,0,5,0,0,0,0,0,0,0,0,,0,9,90
8,7,0,,0,0,0,0,0,0,0,0,0,0,,0,10,100
