Image,Input Image Left,Input Image Right,,Lukas,Leo,Jan,Malte,Nele,Luna,Niko,Jelde,Jerrit,Tjark,Lena,Julius,Lukas,Nick,Martha,,Winner,Absolut,Percantage
1,4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,100%
2,6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,100%
3,10,3,,10,10,10,3,10,3,3,10,10,3,3,3,3,10,10,,10,8,53%
4,1,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,15,100%
5,7,6,,6,7,6,/,6,6,7,6,/,7,7,6,7,7,7,,7,7,46%
6,5,8,,5,8,8,/,8,5,5,8,8,5,5,5,5,5,5,,5,9,60%
7,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,100%
8,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,100%
9,0,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,100%
10,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,100%
11,9,4,,9,9,4,4,4,9,9,4,4,4,9,4,9,4,4,,4,9,60%
12,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,100%
