Image,Image Left,Image Right,,Malte,Lukas,Julius,Jan,Martha,Nele,Leo,Nick,Fabi,Paul,,Winner,Absolut,Percantage
1,10,2,,2,10,10,10,2,10,10,10,10,10,,10,8,80
2,9,0,,0,0,0,0,0,0,0,0,0,0,,0,10,100
3,0,8,,0,0,0,0,0,0,0,0,0,0,,0,10,100
4,5,7,,7,5,7,7,7,7,7,5,7,7,,7,8,80
5,3,0,,0,0,0,0,0,0,0,0,0,0,,0,10,100
6,0,6,,0,0,0,0,0,0,0,0,0,0,,0,10,100
7,5,0,,0,0,0,0,0,0,0,0,0,0,,0,10,100
8,0,4,,0,0,0,0,0,0,0,0,0,0,,0,10,100
